Label,BANK_AR,IT_AR,FMCG_AR,PHARMA_AR,AUTO_AR,ENERGY_AR,METAL_AR,REALTY_AR
t-15,0.005901,-0.011476,0.000595,0.0075,0.006442,0.002792,0.01796,0.002249
t-14,-0.00211,0.012963,-0.000091,-0.004917,0.003076,-0.001151,0.011079,0.005001
t-13,0.002381,0.010748,-0.010737,0.000275,-0.005238,-0.003123,-0.008535,0.009273
t-12,-0.007366,0.016574,-0.00175,-0.007921,-0.006243,-0.008094,0.017682,-0.013778
t-11,-0.003155,0.003822,0.000401,0.009511,-0.000647,-0.005194,0.003496,0.001096
t-10,-0.00438,0.006024,0.001003,-0.00315,0.006516,0.007121,-0.001352,-0.00427
t-9,0.003037,0.002082,-0.001628,-0.002539,-0.004612,-0.002635,0.006271,0.00417
t-8,-0.000462,0.001856,-0.004014,0.001704,0.007525,-0.005915,0.00207,-0.003331
t-7,0.003484,-0.00415,0.002116,0.006184,0.002919,-0.00307,0.012952,0.009173
t-6,0.000976,-0.002334,0.000643,-0.00404,0.008214,-0.003001,0.016959,0.007031
t-5,-0.000508,0.002511,-0.004073,0.003747,-0.003911,0.006401,-0.003777,0.004064
t-4,-0.002952,-0.000233,0.002115,0.002355,0.014003,0.000568,0.013428,0.000232
t-3,0.003692,-0.005597,0.001597,0.00007,0.001624,0.003429,0.012772,0.015885
t-2,-0.00346,0.004488,0.002971,0.00115,-0.005572,0.004175,-0.001904,-0.003706
t-1,-0.000593,-0.002575,-0.004595,-0.003167,-0.003953,0.001521,0.016709,0.000588
t0,-0.005502,0.015865,-0.001993,0.01096,-0.0049,-0.000174,0.00002,0.001116
t+1,-0.000087,0.001793,0.003165,-0.002618,0.00478,-0.002033,-0.002187,-0.000796
t+2,-0.001663,0.000015,-0.001344,0.004066,-0.00342,-0.000735,0.002125,0.013089
t+3,0.00224,0.004597,0.002693,-0.002628,-0.003507,-0.00584,-0.002148,-0.000496
t+4,0.001186,-0.005525,-0.003261,-0.004058,0.004686,0.000722,-0.005268,0.007693
t+5,-0.004456,0.001652,0.005867,0.00209,0.004524,-0.000326,0.009076,0.013823
t+6,-0.005621,0.015331,0.007138,-0.000172,-0.00647,0.001262,0.005289,0.013512
t+7,-0.006972,0.008026,0.012154,0.004125,0.0034,-0.001576,0.007168,-0.004457
t+8,-0.00569,-0.000205,0.004055,0.007985,0.014431,-0.00048,0.010708,0.014957
t+9,-0.000495,0.002212,0.002582,0.004896,0.000564,-0.003452,-0.012431,0.007842
t+10,-0.008012,-0.001122,0.001279,0.018339,0.004848,0.00692,-0.005158,0.001449
t+11,-0.002177,-0.00613,0.009065,-0.00175,0.006628,-0.004161,0.005278,0.017878
t+12,0.001753,-0.000464,-0.005803,0.00434,-0.005754,-0.000564,-0.005247,-0.008824
t+13,-0.000984,0.011495,0.003893,0.002062,-0.001235,-0.010475,-0.007121,0.005477
t+14,0.001513,0.007293,-0.001819,0.002536,0.000934,0.005589,-0.002032,0.013616
t+15,0.000008,-0.001205,0.004069,-0.003165,-0.003208,-0.006787,0.003781,-0.003709
