Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-JAN-2020,16333.15,16365.8,16098.45,16144.15,26267958,2192.68
30-JAN-2020,16509,16514.1,16287.75,16327.9,18889354,1715.04
29-JAN-2020,16513.2,16577.95,16452,16479.3,22195772,2065.23
28-JAN-2020,16442.85,16448.05,16320.6,16429.75,19676966,1670.98
27-JAN-2020,16456.2,16483.9,16385.65,16393.55,13611766,1165.01
24-JAN-2020,16410.5,16498.75,16356.95,16472.75,21184459,1776.2
23-JAN-2020,16380.6,16501.2,16367.75,16474.4,30024513,2522.76
22-JAN-2020,16245.95,16404.6,16211.8,16334.55,26848118,2169.56
21-JAN-2020,16190.8,16221.5,16133.6,16175.2,17456561,1447.68
20-JAN-2020,16389.6,16465.05,16162.5,16207.15,27054398,2598.01
17-JAN-2020,16396.5,16447.35,16310.75,16356.6,20023292,1734.8
16-JAN-2020,16372.15,16423.85,16277.25,16381.65,26236130,1988.28
15-JAN-2020,16354.2,16366.75,16217.1,16346.85,35215518,2659.8
14-JAN-2020,16238.15,16385.95,16226.9,16362.35,34531792,2690.27
13-JAN-2020,16135.5,16275.2,16075.75,16225.9,61139484,4660.8
10-JAN-2020,16040.65,16059.35,15930.65,15959.9,20204002,1659.74
09-JAN-2020,15970.65,16017.25,15857.25,15925.15,27876904,2508.81
08-JAN-2020,15840.9,15974.85,15816.8,15953.45,27441490,2705.34
07-JAN-2020,15893.35,15988.7,15799.8,15895.2,24228858,1896.87
06-JAN-2020,15934.6,16067.65,15831.85,15879.8,24001823,2010.92
03-JAN-2020,15727.6,16004.45,15722.65,15936.6,26007478,2470.87
02-JAN-2020,15754.9,15762.1,15679.65,15709.65,15228631,1359.62
01-JAN-2020,15705.9,15746.25,15676.7,15722.15,9390770,796.37
31-DEC-2019,15754.05,15775.25,15634.5,15652.4,19595240,1563.39
30-DEC-2019,15801.5,15868.95,15715.1,15775,16249651,1400.99
27-DEC-2019,15740.4,15824.15,15657.5,15780.7,16652327,1458.89
26-DEC-2019,15784.45,15806.85,15690.95,15706.45,17848305,1472.24
24-DEC-2019,15877.4,15880.15,15739.45,15778.2,16014503,1570.19
23-DEC-2019,15811.4,15936,15809.05,15865.5,15891898,1414.7
20-DEC-2019,15811.95,15890.95,15781.25,15844.55,29982814,2739.61
19-DEC-2019,15741.2,15835.5,15654.7,15812.95,25099747,2629.83
