Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-JAN-2020,2642.25,2645.7,2559.85,2569,137534113,2200.16
30-JAN-2020,2667.4,2669.55,2621.05,2628.9,126951289,2236.22
29-JAN-2020,2673.1,2700.4,2662.35,2665.85,110717373,1910.48
28-JAN-2020,2705.75,2706.95,2625.2,2642.25,132512577,2374.44
27-JAN-2020,2766.7,2767.65,2698.5,2709.75,123485073,2308.55
24-JAN-2020,2772.4,2808,2756.9,2796.2,93124814,1626.56
23-JAN-2020,2759.05,2779.35,2750.95,2769.25,139648420,2199
22-JAN-2020,2804.8,2806.15,2749.5,2756.75,116380307,1928.19
21-JAN-2020,2823.65,2845.75,2794.35,2799.95,107638493,1886.95
20-JAN-2020,2872.7,2882.35,2832.25,2835.85,100482749,1669.44
17-JAN-2020,2882.9,2895,2860.6,2864.65,82853773,1356.37
16-JAN-2020,2920.1,2924.1,2872.5,2884.8,109111806,1825.65
15-JAN-2020,2888.8,2927.95,2870.8,2921.45,125337815,2137.93
14-JAN-2020,2880.5,2917.1,2876.85,2900.65,134446695,2373.46
13-JAN-2020,2851.85,2877.35,2846.15,2874.1,99128959,1748.41
10-JAN-2020,2820.6,2864.55,2803.2,2840.75,150019071,2565.1
09-JAN-2020,2814.95,2820.45,2787.25,2806.8,127392791,2142.61
08-JAN-2020,2751.2,2777.2,2736.4,2767.25,155905479,2508.6
07-JAN-2020,2785.25,2815.25,2763.3,2785.9,132967777,2217.16
06-JAN-2020,2828.25,2829,2761.45,2765.75,103564241,1604.53
03-JAN-2020,2860.65,2867.75,2835.55,2848.35,129974194,2030.92
02-JAN-2020,2818.4,2873.1,2818.2,2869.9,235152637,3250.47
01-JAN-2020,2805.45,2818,2773.75,2796.05,107671089,1847.73
31-DEC-2019,2788.1,2813.6,2783.8,2801.3,100854196,1758.95
30-DEC-2019,2765.2,2801.6,2737.7,2796.5,105739743,1806.12
27-DEC-2019,2750.8,2768.75,2724.65,2760.35,92652472,1651.8
26-DEC-2019,2725.1,2754.95,2721.1,2739,149468563,2476.81
24-DEC-2019,2716.5,2734.15,2709.6,2723.15,101451396,1612.05
23-DEC-2019,2711,2738,2694.55,2706.35,134979945,2284.66
20-DEC-2019,2693.35,2724.65,2684.3,2707.5,176182487,3137.08
19-DEC-2019,2678.85,2697.65,2667.75,2691.1,136867866,2383.59
18-DEC-2019,2667.75,2704.6,2648.85,2687.65,171742506,3466.94
17-DEC-2019,2603.9,2677.25,2600.95,2665.75,201488191,3436.67
16-DEC-2019,2640.55,2642.5,2586.65,2591.1,109215224,1646.17
13-DEC-2019,2620.3,2645.3,2607.55,2626.75,184004809,2926.34
12-DEC-2019,2525.4,2580.55,2518.5,2568.8,103754947,1744.39
11-DEC-2019,2524.65,2533.6,2484,2509.55,82300049,1241.79
10-DEC-2019,2549,2556.6,2510.75,2515.9,72816872,1165.15
09-DEC-2019,2539,2577.05,2528.45,2551.7,95567208,1459.87
06-DEC-2019,2551.05,2571.5,2516.55,2535.85,119518611,1941.54
05-DEC-2019,2605.7,2611.2,2535.85,2543.95,100777191,1517.34
04-DEC-2019,2536.8,2613.15,2514,2604,148570248,2607.45
03-DEC-2019,2627.85,2629.25,2555.45,2564.2,138745383,2190.72
02-DEC-2019,2631.85,2637.1,2612.15,2632.65,80531419,1290.15
29-NOV-2019,2644.95,2668.35,2608.45,2625.5,103823440,1784.21
28-NOV-2019,2604,2662.8,2597.9,2656.85,117266089,1905.74
27-NOV-2019,2585.15,2616.85,2583.4,2602.85,84538138,1371.68
26-NOV-2019,2614.6,2627.9,2565.65,2580.55,155795660,2851.96
25-NOV-2019,2535.05,2608.95,2533.3,2602,159550308,2820.31
22-NOV-2019,2472.9,2529.7,2468,2521.15,120472726,1709.3
21-NOV-2019,2524.65,2524.65,2466.65,2470.45,88636286,1225.62
20-NOV-2019,2520.1,2549.85,2509.75,2524.9,98967916,1429.26
19-NOV-2019,2547.1,2549.25,2512.45,2517.95,84027887,1390.38
18-NOV-2019,2511.35,2550.3,2495.6,2539.65,107277965,1790.42
15-NOV-2019,2512.65,2529.05,2491,2498.8,106985072,1470.37
14-NOV-2019,2560.2,2562.1,2499.5,2506.6,126711898,1674.97
13-NOV-2019,2617.95,2637.8,2546.8,2556.65,146928227,2359.2
11-NOV-2019,2610.15,2622.45,2598.55,2610.1,117297112,1752.01
08-NOV-2019,2652.15,2669.95,2607.25,2612.95,130225586,2277.09
07-NOV-2019,2645.35,2677.85,2596.7,2659.05,209561002,3842.35
06-NOV-2019,2613.9,2656.7,2608.8,2633.45,149055760,2444.11
05-NOV-2019,2667,2673.75,2609.2,2616.95,158682098,2694.09
04-NOV-2019,2578.85,2660.1,2578.35,2642.15,250913240,4093.42
01-NOV-2019,2494.85,2568.35,2483.5,2561.75,163442365,2440.93
31-OCT-2019,2525.8,2539.3,2492,2500.75,140575878,2085.44
30-OCT-2019,2534.4,2534.4,2502.6,2514.25,104269436,1527.13
29-OCT-2019,2434.5,2528.1,2428.4,2518.3,152777135,2496.83
27-OCT-2019,2425.15,2436.5,2416.15,2421.95,11292951,160.25
25-OCT-2019,2419.05,2437,2404.9,2410.85,101929012,1496.8
24-OCT-2019,2435.2,2453.45,2414.85,2419.55,118983065,1656.19
23-OCT-2019,2436.5,2458.1,2420.75,2436.85,93103718,1293.42
22-OCT-2019,2453,2478.4,2430.1,2442.85,129682491,1608.85
18-OCT-2019,2413.25,2463.25,2398.65,2456,193396086,2211.43
17-OCT-2019,2369.55,2424.75,2352.1,2410.95,132333606,1841.83
16-OCT-2019,2411.8,2416.25,2379.55,2388.3,106691693,1470.88
15-OCT-2019,2354.45,2425.85,2331.45,2397.05,167962621,2090.17
14-OCT-2019,2360.65,2386.5,2352,2360.2,115024579,1609.81
11-OCT-2019,2300.75,2357.5,2300,2337.1,138257780,1839.08
10-OCT-2019,2300.65,2309.9,2278.7,2283.35,116215329,1255.83
09-OCT-2019,2262.8,2325.65,2252.35,2317.7,134386007,1462.96
07-OCT-2019,2305.7,2316.75,2264.95,2269.95,142416626,1435.4
04-OCT-2019,2344.85,2349,2290,2297.2,114280310,1402.84
03-OCT-2019,2368.95,2370.9,2316.5,2326.55,127881703,1688.94
