Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-JAN-2020,329.85,331.9,326.5,331.05,19472690,442.94
30-JAN-2020,329.75,330.05,323.55,327.15,9798856,274.61
29-JAN-2020,329.45,331.85,327.6,328.5,9391548,265.18
28-JAN-2020,326.8,329.25,325.2,326.95,11245597,283.5
27-JAN-2020,328.8,332.4,325.55,326.8,11546185,320.13
24-JAN-2020,329.2,330.25,326.8,328.65,11253589,329.16
23-JAN-2020,321.35,328.05,321.15,327.65,11243092,317.83
22-JAN-2020,322.65,323.05,318.85,320.85,8135501,221.15
21-JAN-2020,325.15,325.3,320.1,321.15,9400990,273.09
20-JAN-2020,324.95,327,323.2,325.8,14372108,387.76
17-JAN-2020,323.25,325.05,322.35,324.15,10556921,263.07
16-JAN-2020,321.75,324.8,320.7,323.8,10929988,267.16
15-JAN-2020,315.6,322.65,315.6,320.9,15290571,358.37
14-JAN-2020,317.35,318.45,314.65,316.75,13116258,295.8
13-JAN-2020,312,317.65,311.85,317.15,21595639,510.78
10-JAN-2020,308.05,311.75,305.9,310.65,23237643,554.39
09-JAN-2020,300.65,305.8,300.2,305.15,18103713,402.97
08-JAN-2020,292.25,297.9,291.35,297.05,13377734,252
07-JAN-2020,294.4,298.95,293.95,298.05,10287489,229.75
06-JAN-2020,299.1,299.75,292.05,292.4,17160303,289.78
03-JAN-2020,300.7,302.15,298.35,299.65,9712668,181.18
02-JAN-2020,299.15,302.4,298.2,301,12237219,208.29
01-JAN-2020,299.45,300.65,296.9,297.85,12878961,188.23
31-DEC-2019,296.15,299.05,295.8,298.55,13947533,251.22
30-DEC-2019,296.9,297.8,293.95,296.45,6657935,175.41
27-DEC-2019,291.5,296.9,291.2,296.1,8902289,232.77
26-DEC-2019,292.4,293.05,290.25,291.4,6532497,155.76
24-DEC-2019,290.75,292.55,290.35,291.95,7464624,172.69
23-DEC-2019,291.7,294.25,288.45,290.7,9817522,214.57
20-DEC-2019,290.65,292.7,289.6,291.95,9348456,240.4
19-DEC-2019,289.85,291.15,288.4,290.4,6618492,182.17
18-DEC-2019,289,290.95,287.2,290.55,11289920,304.64
17-DEC-2019,289.45,290.65,287.65,288.6,8663003,238.9
16-DEC-2019,287.15,289.85,287.05,289.35,9702765,242.94
13-DEC-2019,284.15,288.55,284.15,287.65,18088782,407.24
12-DEC-2019,282.5,283.7,280,282.9,13909274,329.83
11-DEC-2019,278.65,282.4,277.7,280.5,14766865,340.09
10-DEC-2019,278.85,280.4,277.05,277.9,10721953,219.42
09-DEC-2019,283.5,284.85,278.9,280.45,11033432,255.81
06-DEC-2019,286.7,286.9,281.1,283.4,11324751,250.7
05-DEC-2019,285.7,287.7,284.15,285.85,13351899,287.74
04-DEC-2019,283.65,286.45,281.9,285.35,13819805,338.18
03-DEC-2019,281.6,285.55,280.25,284.8,14579126,399.55
02-DEC-2019,281.7,282.3,277.95,281.05,9772071,225.07
29-NOV-2019,280.1,284,278.6,282.05,18964935,413.41
28-NOV-2019,277.45,280,276.35,279.3,16108354,344.78
27-NOV-2019,277.3,280.6,274.45,276.3,10388391,240.75
26-NOV-2019,281.75,282.65,275.55,278.1,77608765,1730.34
25-NOV-2019,278.25,282.7,277.95,280.7,27966379,631.69
22-NOV-2019,275.55,276.6,273.75,275.85,11439243,264.06
21-NOV-2019,275,276.3,272.25,275.45,15402250,319.99
20-NOV-2019,278.15,278.95,273.35,273.95,12650106,302.37
19-NOV-2019,279,279.3,276.7,278.05,13196295,282.47
18-NOV-2019,277.5,278.75,275.8,277.9,15250913,348.62
15-NOV-2019,277.75,279.2,276.05,276.95,17906150,349.16
14-NOV-2019,278.25,278.85,276.3,277.65,15668671,332.1
13-NOV-2019,284.45,286.15,277.2,278.3,28206760,621.66
11-NOV-2019,279.55,284.05,279.15,283.4,21192401,394.94
